"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.49864327792","102.307200417444","101.650759978129","100.584787893891","98.6059592355098","95.0305653214774","97.1391342256947","95.1594069699317","95.6625600073417","89.556636353021","86.651975029806","84.8470551009121","79.9989391499065","76.544245836463","73.4131344485453","67.813314792369","64.3502416273654","61.4827803410729","58.8008638119919","56.4823860296468","54.9583288336377","56.0934207952868","51.2375169680413","49.2064251503149","48.867389030785","48.2370491089235","47.4807789385276","47.0022580758801","44.463549484202","43.3491582121366","42.8500928778465","44.3212333872642","44.3419940282618","41.9690853793299","40.6888559393643","",
"Afghanistan","AFG","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","252.4","249.2","246.4","243.6","240.6","237.7","235","232.4","229.6","226.6","223.8","249","245.2","214.8","211.6","208.3","204.8","201.1","197.2","193.5","189.6","185.6","199.1","195","206.6","201.7","181.3","176.9","155","150.4","145.9","141.4","137.2","133.1","129.4","126","122.7","119.6","116.6","113.6","110.6","107.5","104.3","100.8","97.4","93.8","90.3","86.8","83.4","80.1","76.9","74","71.2","68.6","66.2","64","61.9","60.1","58.3","56.6","54.9","53.2","51.6","49.9","48.3","",
"Africa Western and Central","AFW","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104.418457181813","103.695022150596","103.219577428925","102.719367636892","102.141580648197","101.282612693496","100.214088543056","98.7374258686581","96.8994055925237","94.6533578680188","92.0775915872463","89.256030951424","86.320157923051","83.4686027504521","80.6627551444494","78.0044872809646","75.6044418186699","73.3693796154434","71.3255924562018","71.6591954131986","68.0235061080068","66.4327214131134","65.0950697267466","64.0389873868971","63.4187251491131","62.2249762468944","61.5484879851734","61.089851563164","60.3832231751609","60.6359506778456","59.3217984756743","59.1325922035608","60.0961055630681","57.3536816920022","56.4625109271234","",
"Angola","AGO","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","124.7","123","121.7","120.2","119.1","118.5","118","117.8","117.8","117.9","118.1","118.5","119","119.3","119.5","119.4","118.7","117.2","114.8","111.9","108.3","103.8","98.4","92.5","85.8","78.9","72.2","66","60.3","55.4","51.1","47.6","44.6","42.2","40.3","38.8","37.6","36.7","36","35.5","34.9","34.4","33.7","33","32.1","",
"Albania","ALB","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","68.2","62.4","57.1","52.3","47.9","43.9","40.5","37.4","34.8","32.5","30.5","28.7","27.3","26","24.9","23.9","23","22.2","21.3","20.4","19.5","18.7","17.8","17","16.1","15.2","14.4","13.5","12.7","11.9","11.1","10.3","9.6","9","8.5","8","7.8","7.6","7.6","7.7","7.8","8","8.1","8.3","8.3","8.3","8.3","",
"Andorra","AND","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","10.2","10","9.8","9.5","9.3","9.1","8.8","8.6","8.3","8.1","7.8","7.6","7.3","7.1","6.8","6.6","6.3","6.1","5.8","5.6","5.3","5.1","4.9","4.6","4.4","4.2","4","3.9","3.7","3.5","3.3","3.2","3.1","3","2.9","2.8","2.7","2.6","2.5","2.4","",
"Arab World","ARB","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.9003760648521","65.7177926779757","63.5386915203954","61.8265010527523","55.6402365207287","54.289025778373","52.8392944738082","51.4343931367192","52.935821459296","48.523788863247","47.0749733255125","45.7131614167482","44.3958801989057","43.037758346618","42.4049242049687","41.1591664513718","39.1770698336258","37.7822755398026","36.4611825609064","35.3447083930703","35.1815611944121","40.3057963248342","33.7185677118196","31.7913079239979","31.0474652662062","30.5646546531194","29.9961600736115","30.5835419034964","29.7887898491258","28.8660423125059","28.304838886486","27.8824910367","28.7270048384557","27.4409368971315","26.5842683163759","",
"United Arab Emirates","ARE","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","146.3","139.2","132.2","125","117.5","109.9","102.2","94.7","87.2","79.9","72.9","66.2","60.1","54.5","49.3","44.6","40.2","36.2","32.5","29.2","26.3","23.7","21.5","19.5","17.9","16.5","15.3","14.2","13.3","12.5","11.8","11.2","10.7","10.2","9.8","9.5","9.2","9","8.8","8.6","8.5","8.3","8.2","8","7.9","7.7","7.6","7.4","7.3","7.1","7","6.8","6.7","6.5","6.3","6.1","5.8","5.6","5.3","5","4.7","4.4","4.2","4","3.8","",
"Argentina","ARG","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","59.8","59.3","58.7","58","56.9","55.3","53.1","50.3","47","43.2","39.6","36.3","33.5","31.1","29.1","27.4","26.2","25.4","25","24.9","24.9","24.8","24.5","23.8","23","22","20.9","19.9","18.9","18","17.3","16.7","16.2","15.8","15.3","14.9","14.4","14","13.6","13.2","12.8","12.4","11.9","11.4","10.9","10.4","10","9.7","9.4","9.1","8.9","8.7","8.5","8.4","8.2","8","",
"Armenia","ARM","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","82.2","78.8","75.5","72.4","69.4","66.5","63.8","61.2","58.7","56.3","54","51.8","69","47.6","45.6","43.6","41.6","39.6","37.7","35.9","34.2","32.5","30.9","29.3","27.8","26.3","25","23.6","22.4","21.2","20.1","19.1","18.1","17.2","16.3","15.5","14.8","14.1","13.4","12.8","12.2","11.7","11.2","10.7","10.2","9.7","9.3","8.9","8.5","",
"American Samoa","ASM","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","62.2","58.6","54.7","50.4","46.1","41.8","37.7","34","30.7","27.8","25.5","23.5","21.8","20.4","19.2","18.1","17","15.9","14.9","13.9","13","12.2","11.6","11.1","10.7","10.5","10.5","10.5","10.6","10.8","11.1","11.4","11.7","12","12.3","12.6","12.7","12.7","12.6","12.4","12.1","11.9","11.6","11.3","11","10.7","10.5","10.2","10","9.7","9.5","9.3","9.1","8.9","8.7","8.6","8.4","8.3","8.1","8","7.8","7.6","7.4","7.2","7","",
"Australia","AUS","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","20.4","20","19.5","19.1","18.8","18.5","18.4","18.3","18.2","18.1","17.9","17.5","16.9","16.2","15.3","14.4","13.5","12.7","11.9","11.3","10.8","10.4","10.1","9.8","9.6","9.3","9.1","8.7","8.4","8","7.6","7.1","6.7","6.3","6","5.7","5.6","5.4","5.3","5.2","5.1","5","4.9","4.9","4.8","4.8","4.7","4.5","4.4","4.2","4","3.8","3.6","3.5","3.4","3.3","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.1","3.1","",
"Austria","AUT","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","37.2","35","33","31.2","29.7","28.4","27.3","26.4","25.8","25.5","25.2","24.8","24.1","23.1","21.6","19.9","18.2","16.7","15.5","14.6","13.9","13.2","12.5","11.9","11.3","10.7","10","9.4","8.8","8.4","8","7.5","7.1","6.6","6.1","5.7","5.3","5","4.8","4.7","4.6","4.5","4.4","4.3","4.2","4.1","4","3.9","3.8","3.7","3.6","3.5","3.4","3.3","3.2","3.1","3","3","2.9","2.9","2.9","2.8","2.8","2.8","2.8","",
"Azerbaijan","AZE","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","","","","","","","","","","","","","","","","","","82.5","80.9","79.4","78","76.7","75.8","75.1","74.8","75.1","75.8","76.5","77.2","77.3","76.6","75","72.4","69.1","65.3","61.1","56.8","52.7","48.9","45.4","42.2","39.2","36.6","34.1","31.8","29.7","27.7","25.9","24.2","22.6","21.1","19.8","18.6","17.5","16.5","15.6","14.7","13.9","13.2","12.5","",
"Burundi","BDI","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","","","","","","114.2","115.6","116.9","118.2","119.1","119.9","120.4","136.6","121.4","121.8","122.2","122.2","121.4","119.5","116.6","113.1","108.8","104.2","99.8","96","93.1","91.3","90.5","90.6","91.3","92.2","93.2","94","99.7","95","94.9","103.7","93.7","92.3","90.5","88.4","86.1","83.5","80.6","77.4","73.8","69.9","66","62.1","58.4","55.1","52","49.1","46.4","43.9","41.8","40","38.4","37","35.7","34.6","33.5","32.4","31.4","30.5","",
"Belgium","BEL","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","29.6","28.3","27.1","26","25","24.1","23.3","22.6","21.9","21.2","20.5","19.6","18.6","17.6","16.6","15.7","14.9","14.1","13.4","12.7","12.2","11.6","11.1","10.6","10.2","9.8","9.5","9.2","8.9","8.6","8.3","8","7.7","7.3","6.8","6.4","5.9","5.6","5.3","5","4.8","4.7","4.5","4.4","4.2","4.1","4","3.9","3.8","3.8","3.7","3.6","3.5","3.5","3.4","3.4","3.4","3.3","3.3","3.3","3.2","3.2","3.2","3.2","3.1","",
"Benin","BEN","Mortality rate, infant (per 1,000 live births)","SP.DYN.IMRT.IN","159.3","157.4","155.3","153.1","150.8","148.4","146.2","144","141.9","140.1","138.1","136.1","134","131.8","129.5","127.1","124.7","122.3","120","117.8","115.8","113.9","112.2","110.5","108.8","107.2","105.5","103.7","101.9","100.1","98.1","96.1","94.1","92.1","90.2","88.4","86.7","85","83.3","81.5","79.7","77.8","76","74.3","72.6","71","69.4","67.9","66.5","65.1","63.8","62.4","61.1","59.8","58.4","57","55.8","54.4","53.1","51.8","50.4","49.1","47.8","46.5","45.2","",
